,Name,Price,Detail,Rooms,Size
95,"Spacious, Beautiful 3BR in Regent Square! Available NOW!",1250.0,3br 1166ft2,3,1166
96,@ Amazing 2bed 1bath house near park and school*For Rent*,800.0,2br 1187ft2,2,1187
97,"Granite or Stone Countertops, Pet Friendly (Pet Fees Apply), Dog Park",1165.0,1br 640ft2,1,640
98,1200ft2 - 3 bedroom 2nd floor,1150.0,3br 1200ft2,3,1200
99,"Stainless Steel Appliances, Dog Park, Clubhouse & Resident Lounge",1165.0,1br 640ft2,1,640
100,One-bedroom duplex townhouse apartment.,520.0,1br,1,0
101,"Updated 1BR in West View! Off street parking, pet friendly! DECEMBER",695.0,1br 600ft2,1,600
102,Brand New Turn Key 3BR~~~**,900.0,3br,3,0
103,3 Bedroom 2 bath half double,1050.0,3br,3,0
104,Moon Grove Apartments is a must see!,1492.0,2br 1050ft2,2,1050
105,"High Speed Internet Ready, Dog Park, 24 Hour Emergency Maintenance",1165.0,1br 640ft2,1,640
106,"Resort Style Swimming Pool, Solar Screens, Dog Park",1165.0,1br 640ft2,1,640
107,Spacious 3 Bedroom House.,1795.0,3br 1500ft2,3,1500
108,"Vinyl Plank Hardwood Flooring, Pet Friendly (Pet Fees Apply), Dog Park",1245.0,1br 660ft2,1,660
109,Moon Grove Apartments is a must see!,1464.0,2br 1050ft2,2,1050
110,Arnold  1 Bedroom House,500.0,1br,1,0
111,REMODELED Victorian apt Deck AC Hardwood Floors,685.0,1br,1,0
112,"24 Hour Emergency Maintenance, No Balcony, Clubhouse & Resident Lounge",1165.0,1br 640ft2,1,640
113,Park-like Setting/Fox Chapel Schools,1000.0,2br 1800ft2,2,1800
114,Charming apartment! DECEMBER MOVE IN,695.0,1br 600ft2,1,600
115,Great 1BR with amazing outdoor space in Brentwood,775.0,1br 750ft2,1,750
116,"24 Hour Emergency Maintenance, Granite or Stone Countertops, Dog Park",1245.0,1br 660ft2,1,660
117,STOREFRONT ON EAST CARSON ST! IMMEDIATE MOVE IN,2100.0,1400ft2,0,1400
118,Moon Grove Apartments is a must see!,1595.0,2br 1050ft2,2,1050
119,Great 6-Bedroom House!,3450.0,6br,6,0
